player_name,college
Chris Dudley,Yale
Clar. Weatherspoon,Southern Mississippi
Clifford Rozier,Louisville
Clyde Drexler,Houston
Corey Beck,Arkansas
Corie Blount,Cincinnati
Corliss Williamson,Arkansas
Cory Alexander,Virginia
Dale Davis,Clemson
Dale Ellis,Tennessee
Damon Stoudamire,Arizona
Dan Majerle,Central Michigan
Dan Schayes,Syracuse
Clifford Robinson,Connecticut
Danny Fortson,Cincinnati
Chris Crawford,Marquette
Chris Carr,Southern Illinois
Brian Oliver,Georgia Tech
Brian Shaw,California-Santa Barbara
Brooks Thompson,Oklahoma State
Bruce Bowen,Cal State-Fullerton
Bryant Reeves,Oklahoma State
Bryant Stith,Virginia
Bryon Russell,Long Beach State
Bubba Wells,Austin Peay
Buck Williams,Maryland
Calbert Cheaney,Indiana
Carl Herrera,Houston
Chris Childs,Boise State
Carl Thomas,Eastern Michigan
Cedric Ceballos,Cal State-Fullerton
Cedric Henderson,Memphis
Charles Barkley,Auburn
Charles Jones,Albany State (GA)
Charles O'Bannon,UCLA
Charles Oakley,Virginia Union
Charles Smith,New Mexico
Charlie Ward,Florida State
Chauncey Billups,Colorado
Cherokee Parks,Duke
Chris Anstey,None
Carlos Rogers,Tennessee State
Jermaine O'Neal,None
Danny Ferry,Duke
Jerome Williams,Georgetown
Scott Williams,North Carolina
Scottie Pippen,Central Arkansas
Sean Elliott,Arizona
Sean Higgins,Michigan
Sean Rooks,Arizona
Shandon Anderson,Georgia
Shaquille O'Neal,Louisiana State
Shareef Abdur-Rahim,California
Sharone Wright,Clemson
Shawn Bradley,Brigham Young
Shawn Kemp,Trinity Valley Community College
Shawn Respert,Michigan State
Shawnelle Scott,St. John's (NY)
Shea Seals,Tulsa
Sherman Douglas,Syracuse
Spud Webb,North Carolina State
Stacey Augmon,Nevada-Las Vegas
Stanley Roberts,Louisiana State
Stephen Howard,DePaul
Stephon Marbury,Georgia Tech
Steve Henson,Kansas State
Steve Kerr,Arizona
Steve Nash,Santa Clara
Scott Burrell,Connecticut
Scott Brooks,California-Irvine
Scot Pollard,Kansas
Samaki Walker,Louisville
Reggie Jordan,New Mexico State
Reggie Miller,UCLA
Reggie Slater,Wyoming
Rex Chapman,Kentucky
Rex Walters,Kansas
Rick Brunson,Temple
Rick Fox,North Carolina
Rick Mahorn,Hampton
Ricky Pierce,Rice
Rik Smits,Marist
Robert Horry,Alabama
Steven Smith,Michigan State
Robert Pack,Southern California
Rodney Rogers,Wake Forest
Rodrick Rhodes,Southern California
Ron Harper,Miami (OH)
Ron Mercer,Kentucky
Rony Seikaly,Syracuse
Roy Rogers,Alabama
Rusty LaRue,Wake Forest
Sam Cassell,Florida State
Sam Mack,Houston
Sam Mitchell,Mercer
Sam Perkins,North Carolina
Rod Strickland,DePaul
Reggie Hanson,Kentucky
Stojko Vrankovic,None
Terrell Brandon,Oregon
Travis Williams,South Carolina State
Troy Hudson,Southern Illinois
Tyrone Corbin,DePaul
Tyrone Hill,Xavier
Tyus Edney,UCLA
Vernon Maxwell,Florida
Vin Baker,Hartford
Vincent Askew,Memphis
Vinny Del Negro,North Carolina State
Vitaly Potapenko,Wright State
Vlade Divac,None
Voshon Lenard,Minnesota
Walt Williams,Maryland
Walter McCarty,Kentucky
Wesley Person,Auburn
Will Perdue,Vanderbilt
William Cunningham,Temple
Willie Burton,Minnesota
Xavier McDaniel,Wichita State
Yinka Dare,George Washington
Zan Tabak,None
Zydrunas Ilgauskas,None
Jerome Kersey,Longwood
Travis Knight,Connecticut
Travis Best,Georgia Tech
Tracy Murray,UCLA
Tracy McGrady,None
Terry Cummings,DePaul
Terry Davis,Virginia Union
Terry Dehere,Seton Hall
Terry Mills,Michigan
Terry Porter,Wisconsin-Stevens Point
Theo Ratliff,Wyoming
Tim Breaux,Wyoming
Tim Duncan,Wake Forest
Tim Hardaway,Texas-El Paso
Tim Kempton,Notre Dame
Tim Legler,La Salle
Tariq Abdul-Wahad,San Jose State
Tim Thomas,Villanova
Todd Fuller,North Carolina State
Tom Chambers,Utah
Tom Gugliotta,North Carolina State
Tom Hammonds,Georgia Tech
Toni Kukoc,None
Tony Battie,Texas Tech
Tony Delk,Kentucky
Tony Dumas,Missouri-Kansas City
Tony Farmer,Nebraska
Tony Massenburg,Maryland
Tony Smith,Marquette
Todd Day,Arkansas
Reggie Geary,Arizona
Gary Trent,Ohio
Rasheed Wallace,North Carolina
Kevin Edwards,DePaul
Kevin Garnett,None
Kevin Johnson,California
Kevin Ollie,Connecticut
Kevin Salvadori,North Carolina
Kevin Willis,Michigan State
Khalid Reeves,Arizona
Kiwane Garris,Illinois
Kobe Bryant,None
Kurt Thomas,Texas Christian
LaPhonso Ellis,Notre Dame
Lamond Murray,California
Larry Johnson,Nevada-Las Vegas
Larry Robinson,Centenary (LA)
Latrell Sprewell,Alabama
Lawrence Funderburke,Ohio State
Lawrence Moten,Syracuse
Ledell Eackles,New Orleans
Lee Mayberry,Arkansas
Lindsey Hunter,Jackson State
Litterial Green,Georgia
Lloyd Daniels,Mt. San Antonio
Lorenzen Wright,Memphis
Kerry Kittles,Villanova
Kenny Anderson,Georgia Tech
Kendall Gill,Illinois
Kelvin Cato,Iowa State
Jerry Stackhouse,North Carolina
Jim McIlvaine,Marquette
Jimmy Oliver,Purdue
Joe Dumars,McNeese State
Joe Kleine,Arkansas
Joe Smith,Maryland
Joe Stephens,Arkansas-Little Rock
Joe Wolf,North Carolina
John Crotty,Virginia
John Starks,Oklahoma State
John Stockton,Gonzaga
Lorenzo Williams,Stetson
John Thomas,Minnesota
Johnny Newman,Richmond
Johnny Taylor,Tennessee-Chattanooga
Jon Barry,Georgia Tech
Jud Buechler,Arizona
Juwan Howard,Michigan
Karl Malone,Louisiana Tech
Kebu Stewart,Cal State-Bakersfield
Keith Askins,Alabama
Keith Booth,Maryland
Keith Closs,Central Connecticut State
Keith Van Horn,Utah
John Wallace,Syracuse
Loy Vaught,Michigan
Jim Jackson,Ohio State
Lucious Harris,Long Beach State
Micheal Williams,Baylor
Mitch Richmond,Kansas State
Mitchell Butler,UCLA
Monty Williams,Notre Dame
Mookie Blaylock,Oklahoma
Muggsy Bogues,Wake Forest
Nate McMillan,North Carolina State
Nick Anderson,Illinois
Nick Van Exel,Cincinnati
Luc Longley,New Mexico
Oliver Miller,Arkansas
Michael Stewart,California
Othella Harrington,Georgetown
P.J. Brown,Louisiana Tech
Patrick Ewing,Georgetown
Pervis Ellison,Louisville
Pete Chilcutt,North Carolina
Pete Myers,Arkansas-Little Rock
Pooh Richardson,UCLA
Popeye Jones,Murray State
Priest Lauderdale,Central State (OH)
Randy Brown,New Mexico State
Ray Allen,Connecticut
Randy Livingston,Louisiana State
Otis Thorpe,Providence
Michael Smith,Providence
Olden Polynice,Virginia
Michael Jordan,North Carolina
Michael McDonald,New Orleans
Malik Rose,Drexel
Malik Sealy,St. John's (NY)
Marcus Camby,Massachusetts
Mario Bennett,Arizona State
Mario Elie,American International
Mark Bryant,Seton Hall
Mark Davis,Texas Tech
Mark Hendrickson,Washington State
Mark Jackson,St. John's (NY)
Mark Pope,Kentucky
Mark Price,Georgia Tech
Mahmoud Abdul-Rauf,Louisiana State
Mark West,Old Dominion
Marko Milic,None
Martin Muursepp,None
Marty Conlon,Providence
Matt Bullard,Iowa
Matt Geiger,Georgia Tech
Matt Maloney,Pennsylvania
Maurice Taylor,Michigan
Michael Cage,San Diego State
Michael Curry,Georgia Southern
Michael Finley,Wisconsin
Mark Strickland,Temple
Dana Barros,Boston College
Dan Schayes,Syracuse
Dan Majerle,Central Michigan
Damon Stoudamire,Arizona
Cory Carr,Texas Tech
Dale Ellis,Tennessee
Dale Davis,Clemson
Cuttino Mobley,Rhode Island
Danny Ferry,Duke
Damon Jones,Houston
Danny Fortson,Cincinnati
David Wesley,Baylor
Darrell Armstrong,Fayetteville State
Darrick Martin,UCLA
David Robinson,Navy
David Vaughn,Memphis
David Wingate,Georgetown
DeJuan Wheat,Louisville
Dean Garrett,Indiana
Dee Brown,Jacksonville
Dell Curry,Virginia Tech
Dennis Rodman,Southeastern Oklahoma State
Danny Manning,Kansas
Cory Alexander,Virginia
Charles R. Jones,Long Island-Brooklyn
Corie Blount,Cincinnati
Charles Shackleford,North Carolina State
Charles Smith,New Mexico
Charlie Ward,Florida State
Chauncey Billups,Colorado
Cherokee Parks,Duke
Chris Anstey,None
Chris Carr,Southern Illinois
Chris Childs,Boise State
Chris Crawford,Marquette
Chris Dudley,Yale
Chris Gatling,Old Dominion
Corliss Williamson,Arkansas
Chris King,Wake Forest
Chris Morris,Auburn
Chris Mullin,St. John's (NY)
Chris Webber,Michigan
Chris Whitney,Clemson
Christian Laettner,Duke
Chuck Person,Auburn
Chucky Brown,North Carolina State
Clar. Weatherspoon,Southern Mississippi
Clifford Robinson,Connecticut
Corey Beck,Arkansas
Corey Benjamin,Oregon State
Chris Mills,Arizona
Dennis Scott,Georgia Tech
Elden Campbell,Clemson
Derek Fisher,Arkansas-Little Rock
Eric Riley,Michigan
Eric Snow,Michigan State
Eric Washington,Alabama
Eric Williams,Providence
Erick Dampier,Mississippi State
Erick Strickland,Nebraska
Ervin Johnson,New Orleans
Etdrick Bohannon,Auburn-Montgomery
Felipe Lopez,St. John's (NY)
Felton Spencer,Louisville
Fred Hoiberg,Iowa State
Gary Grant,Michigan
Gary Payton,Oregon State
Gary Trent,Ohio
George Lynch,North Carolina
George McCloud,Florida State
Gerald Brown,Pepperdine
Gerald Wilkins,Tennessee-Chattanooga
Gerard King,Nicholls State
Gheorghe Muresan,None
Glen Rice,Michigan
Glenn Robinson,Purdue
Charles Oakley,Virginia Union
Eric Piatkowski,Nebraska
Eric Murdock,Providence
Eric Montross,North Carolina
Elliot Perry,Memphis
Derek Harper,Illinois
Derek Strong,Xavier
Derrick Coleman,Syracuse
Derrick McKey,Alabama
Detlef Schrempf,Washington
Dickey Simpkins,Providence
Dikembe Mutombo,Georgetown
Dirk Nowitzki,None
Dominique Wilkins,Georgia
Don MacLean,UCLA
Don Reid,Georgetown
Derek Anderson,Kentucky
Donyell Marshall,Connecticut
Doug Overton,La Salle
Doug West,Villanova
Drew Barry,Georgia Tech
Duane Causwell,Temple
Duane Ferrell,Georgia Tech
Dwayne Schintzius,Florida
Earl Boykins,Eastern Michigan
Ed Gray,California
Eddie Johnson,Illinois
Eddie Jones,Temple
